Country ISO3,Country Name,Indicator,Subindicator Type,Indicator_in_2018
AFG,Afghanistan,Absence of corruption (Global States of Democracy),Scaled to range from 0 (lowest score) to 1 (highest score),0.236799154
AFG,Afghanistan,Access to justice ,Scaled to range from 0 (lowest score) to 1 (highest score),0.304748823
AFG,Afghanistan,Access to justice for men ,Scaled to range from 0 (lowest score) to 1 (highest score),0.297157948
AFG,Afghanistan,Access to justice for women ,Scaled to range from 0 (lowest score) to 1 (highest score),0.384745322
AFG,Afghanistan,Barriers to parties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.473684211
AFG,Afghanistan,Basic welfare ,Scaled to range from 0 (lowest score) to 1 (highest score),0.394133266
AFG,Afghanistan,Checks on government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.539710076
AFG,Afghanistan,Civil liberties ,Scaled to range from 0 (lowest score) to 1 (highest score),0.570567093
AFG,Afghanistan,Civil society participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.668254096
AFG,Afghanistan,Clean Elections ,Scaled to range from 0 (lowest score) to 1 (highest score),0.401147956
AFG,Afghanistan,Competition ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Competitiveness of executive recruitment ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Competitiveness of participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0
AFG,Afghanistan,Compliance with High Court ,Scaled to range from 0 (lowest score) to 1 (highest score),0.526315789
AFG,Afghanistan,Compliance with judiciary ,Scaled to range from 0 (lowest score) to 1 (highest score),0.263157895
AFG,Afghanistan,Critical Print / broadcast media ,Scaled to range from 0 (lowest score) to 1 (highest score),0.52540165
AFG,Afghanistan,CSO  participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.691685179
AFG,Afghanistan,CSO entry and exit ,Scaled to range from 0 (lowest score) to 1 (highest score),0.584735754
AFG,Afghanistan,CSO participatory environment ,Scaled to range from 0 (lowest score) to 1 (highest score),0.608682855
AFG,Afghanistan,CSO repression ,Scaled to range from 0 (lowest score) to 1 (highest score),0.72636466
AFG,Afghanistan,CSO women s participation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AFG,Afghanistan,Direct  Democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.01707213
AFG,Afghanistan,Direct democracy ,Scaled to range from 0 (lowest score) to 1 (highest score),0.025608195
AFG,Afghanistan,Educational equality ,Scaled to range from 0 (lowest score) to 1 (highest score),0.052631579
AFG,Afghanistan,Effective parliament ,Scaled to range from 0 (lowest score) to 1 (highest score),0.591386412
AFG,Afghanistan,Elected executive index ,Scaled to range from 0 (lowest score) to 1 (highest score),1
AFG,Afghanistan,Elected Government ,Scaled to range from 0 (lowest score) to 1 (highest score),0.649970764
AFG,Afghanistan,Election free and fair ,Scaled to range from 0 (lowest score) to 1 (highest score),0.412204036
AFG,Afghanistan,Election government intimidation ,Scaled to range from 0 (lowest score) to 1 (highest score),0.480887463
AFG,Afghanistan,Election other voting irregularities ,Scaled to range from 0 (lowest score) to 1 (highest score),0.241518578
AFG,Afghanistan,Election voter registry ,Scaled to range from 0 (lowest score) to 1 (highest score),0.366720281
AFG,Afghanistan,Election women in the cabinet ,Scaled to range from 0 (lowest score) to 1 (highest score),0.470588235
AFG,Afghanistan,Elections multiparty ,Scaled to range from 0 (lowest score) to 1 (highest score),0.35
AFG,Afghanistan,Electoral,Scaled to range from 0 (lowest score) to 1 (highest score),0.666666667
